player,matches,inn,overs,maiden,runs,wkts,bb_inn,avg,econ,sr,_4w,_5w,season
Usman Shinwari (PAK),5,5,16.0,0,106,6,2/4,17.66,6.62,16.0,0,0,2018
MA Leask (SCOT),6,6,17.0,0,138,5,3/31,27.60,8.11,20.4,0,0,2018
B Muzarabani (ZIM),4,4,16.0,0,136,5,3/21,27.20,8.50,19.2,0,0,2018
Nazmul Islam (BAN),6,6,18.3,2,118,5,3/28,23.60,6.37,22.2,0,0,2018
AU Rashid (ENG),4,4,16.0,0,113,5,3/27,22.60,7.06,19.2,0,0,2018
Rubel Hossain (BAN),5,5,17.5,0,146,5,1/13,29.20,8.18,21.4,0,0,2018
PM Seelaar (NED),5,4,16.0,0,120,5,3/25,24.00,7.50,19.2,0,0,2018
Shakib Al Hasan (BAN),6,6,22.1,0,140,5,2/19,28.00,6.31,26.6,0,0,2018
RD Berrington (SCOT),6,5,9.0,0,66,4,1/7,16.50,7.33,13.5,0,0,2018
Hamza Tahir (SCOT),3,3,12.0,0,126,4,3/26,31.50,10.50,18.0,0,0,2018
Hussain Talat (PAK),10,5,5.0,0,40,4,2/12,10.00,8.00,7.5,0,0,2018
CJ Jordan (ENG),4,4,15.4,0,143,4,3/42,35.75,9.12,23.5,0,0,2018
GJ Maxwell (AUS),6,4,8.0,0,75,4,2/35,18.75,9.37,12.0,0,0,2018
AR Nurse (WI),4,4,10.0,0,73,4,2/6,18.25,7.30,15.0,0,0,2018
KJ O'Brien (IRE),8,4,9.0,0,101,4,3/40,25.25,11.22,13.5,0,0,2018
AD Russell (WI),4,4,14.0,0,121,4,2/25,30.25,8.64,21.0,0,0,2018
Shaheen Shah Afridi (PAK),3,3,12.0,0,96,4,3/37,24.00,8.00,18.0,0,0,2018
Shapoor Zadran (AFG),2,2,8.0,0,82,4,3/40,20.50,10.25,12.0,0,0,2018
SM Sharif (SCOT),5,5,18.0,0,163,4,2/31,40.75,9.05,27.0,0,0,2018
S Snater (NED),4,3,10.0,0,99,4,2/25,24.75,9.90,15.0,0,0,2018
MP Stoinis (AUS),6,6,14.2,0,128,4,1/9,32.00,8.93,21.5,0,0,2018
DJ Willey (ENG),4,4,15.0,0,116,4,1/18,29.00,7.73,22.5,0,0,2018
