player,matches,inn,overs,maiden,runs,wkts,bb_inn,bb_match,avg,econ,sr,_4w,_5w,season
JDS Neesham (NZ),3,5,32.1,4,112,3,2/12,2/21,37.33,3.48,64.3,0,0,2014
VD Philander (SA),3,6,86.4,28,228,3,2/52,2/87,76.00,2.63,173.3,0,0,2014
Shafiul Islam (BAN),1,2,40.0,8,122,3,2/80,3/122,40.66,3.05,80.0,0,0,2014
J Blackwood (WI),3,3,20.0,2,69,2,2/14,2/65,34.50,3.45,60.0,0,0,2014
TL Chatara (ZIM),1,2,29.0,13,39,2,1/5,2/39,19.50,1.34,87.0,0,0,2014
JO Holder (WI),1,2,20.0,6,50,2,2/26,2/50,25.00,2.50,60.0,0,0,2014
KMDN Kulasekara (SL),1,2,37.0,5,148,2,1/65,2/148,74.00,4.00,111.0,0,0,2014
SCJ Broad (ENG),10,19,330.3,68,1089,44,8/15,9/51,24.75,3.29,45.0,2,0,2015
Yasir Shah (PAK),5,10,271.0,41,804,34,7/76,9/155,23.64,2.96,47.8,3,0,2015
JM Anderson (ENG),8,16,285.2,77,839,33,6/42,7/62,25.42,2.94,51.8,2,0,2015
KTGD Prasad (SL),6,12,217.3,33,733,29,4/43,8/169,25.27,3.37,45.0,0,0,2015
JR Hazlewood (AUS),6,11,168.5,45,518,28,5/38,7/56,18.50,3.06,36.1,1,0,2015
MA Starc (AUS),7,13,202.2,42,709,28,6/111,7/174,25.32,3.50,43.3,2,0,2015
R Ashwin (IND),4,8,146.0,28,475,26,6/46,10/160,18.26,3.25,33.6,3,1,2015
NM Lyon (AUS),7,13,188.1,40,606,24,4/75,6/144,25.25,3.22,47.0,0,0,2015
MM Ali (ENG),9,15,245.0,36,1004,23,3/51,5/130,43.65,4.09,63.9,0,0,2015
MG Johnson (AUS),7,13,191.0,37,673,23,3/21,6/80,29.26,3.52,49.8,0,0,2015
PHT Kaushal (SL),5,10,216.2,15,804,22,5/42,8/181,36.54,3.71,59.0,2,0,2015
JE Taylor (WI),4,8,121.4,30,366,19,6/47,6/69,19.26,3.00,38.4,1,0,2015
MA Wood (ENG),6,11,191.4,42,690,19,3/69,5/159,36.31,3.60,60.5,0,0,2015
BA Stokes (ENG),10,17,230.0,46,898,18,6/36,6/36,49.88,3.90,76.6,1,0,2015
HMRKB Herath (SL),5,9,225.3,31,683,17,7/48,7/115,40.17,3.02,79.5,1,0,2015
A Mishra (IND),3,6,79.0,11,225,15,4/43,7/72,15.00,2.84,31.6,0,0,2015
TA Boult (NZ),2,4,116.0,25,323,13,5/85,9/164,24.84,2.78,53.5,1,0,2015
N Pradeep (SL),4,8,124.0,22,389,13,4/62,5/114,29.92,3.13,57.2,0,0,2015
I Sharma (IND),4,7,97.0,15,326,13,5/54,8/86,25.07,3.36,44.7,1,0,2015
ST Finn (ENG),3,5,78.1,15,270,12,6/79,8/117,22.50,3.45,39.0,1,0,2015
Wahab Riaz (PAK),4,7,123.0,22,378,12,3/55,5/120,31.50,3.07,61.5,0,0,2015
JO Holder (WI),5,9,135.5,37,367,11,3/15,5/49,33.36,2.70,74.0,0,0,2015
Taijul Islam (BAN),4,6,147.4,10,544,11,6/163,6/163,49.45,3.68,80.5,1,0,2015
D Bishoo (WI),2,3,92.0,20,289,10,6/80,6/80,28.90,3.14,55.2,1,0,2015
Mohammad Hafeez (PAK),4,8,79.0,11,248,9,2/40,4/129,27.55,3.13,52.6,0,0,2015
Zulfiqar Babar (PAK),3,6,145.0,24,443,9,3/64,4/95,49.22,3.05,96.6,0,0,2015
MJ Henry (NZ),2,4,86.1,12,340,8,4/93,6/199,42.50,3.94,64.6,0,0,2015
MR Marsh (AUS),3,6,44.1,13,149,8,3/30,5/86,18.62,3.37,33.1,0,0,2015
JE Root (ENG),10,12,86.3,22,272,8,2/22,2/22,34.00,3.14,64.8,0,0,2015
TG Southee (NZ),2,4,106.0,17,392,8,4/83,5/126,49.00,3.69,79.5,0,0,2015
MD Craig (NZ),2,4,103.5,29,294,7,3/73,5/121,42.00,2.83,89.0,0,0,2015
