,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
178,TWM Latham (NZ),2,3,3,3.00,0,,,,,,,,
179,BB McCullum (NZ),2,61,40,30.50,0,,,,,,,,
180,EJG Morgan (ENG),2,76,71,38.00,0,,,,,,,,
181,JDS Neesham (NZ),2,18,11,9.00,0,0,,,,,,,
182,L Ronchi (NZ),2,12,12,12.00,0,,,,,,,,
183,JE Root (ENG),2,31,26,15.50,0,1,1/16,16.00,0,1,0,-0.49,2014
184,K Santokie (WI),2,,,,,,,,,,,,
185,IS Sodhi (NZ),2,0,0*,-,,,,,,,,,
186,TG Southee (NZ),2,2,2,2.00,0,3,2/20,18.00,0,1,0,-15.99,2014
187,LRPL Taylor (NZ),2,49,28*,49.00,0,,,,,,,,
188,JC Tredwell (ENG),2,,,,,,,,,,,,
189,BJ Watling (NZ),2,1,1,1.00,0,,,,,,,,
190,KS Williamson (NZ),2,56,37,28.00,0,1,1/11,11.00,0,0,0,17.00,2014
191,CR Woakes (ENG),2,2,2*,2.00,0,2,1/31,37.00,0,0,0,-34.99,2014
192,Abdur Razzak (BAN),1,,,,,,,,,,,,
193,MM Ali (ENG),1,0,0,0.00,0,1,1/31,31.00,0,0,0,-30.99,2014
194,Al-Amin Hossain (BAN),1,,,,,,,,,,,,
195,Anamul Haque (BAN),1,19,19*,-,,,,,,,,,
196,R Ashwin (IND),1,,,,,,,,,,,,
197,IR Bell (ENG),1,13,13,13.00,0,,,,,,,,
198,DJ Bravo (WI),1,,,,,,,,,,,,
199,MA Carberry (ENG),1,7,7,7.00,0,,,,,,,,
200,LD Chandimal (SL),1,7,7,7.00,0,,,,,,,,
201,S Dhawan (IND),1,33,33,33.00,0,,,,,,,,
202,MS Dhoni (IND),1,27,27*,-,,,,,,,,,
203,TM Dilshan (SL),1,14,14,14.00,0,,,,,,,,
204,ST Finn (ENG),1,,,,,,,,,,,,
205,CH Gayle (WI),1,,,,,,,,,,,,
206,RA Jadeja (IND),1,7,7,7.00,0,1,1/35,35.00,0,0,0,-27.99,2014
