,player,country,matches,runs,highest_score,batting_avg,100s,wickets,best_bowling_innings,bowling_avg,5wicket_haul,catches_taken,stumping_made,avg_diff,year,allrounder_score
92,CD de Lange ,SCOT,3,1,1,1.0,0,1,1/44,53.0,0,1,0,-51.99,2015,-15.2
93,GD Elliott ,NZ,3,33,20,11.0,0,1,1/7,29.0,0,0,0,-17.99,2015,-5.0
94,Mohammad Naveed ,UAE,3,38,19*,19.0,0,2,1/10,38.0,0,0,0,-18.99,2015,-4.9
95,Mustafizur Rahman ,BAN,3,1,1,0.5,0,3,2/20,28.0,0,0,0,-27.49,2015,-7.050000000000001
96,Nasir Hossain ,BAN,3,1,1,0.5,0,3,2/26,26.33,0,1,0,-25.83,2015,-6.5489999999999995
97,MP O'Dowd ,NED,3,20,17,10.0,0,1,1/7,7.0,0,2,0,3.0,2015,1.2999999999999998
98,Shakib Al Hasan ,BAN,3,91,57*,45.5,0,1,1/24,78.0,0,1,0,-32.49,2015,-9.349999999999998
99,Sohail Tanvir ,PAK,3,9,8,4.5,0,4,3/29,22.25,0,0,0,-17.74,2015,-3.7249999999999996
100,Umair Ali ,UAE,3,22,13,22.0,0,1,1/13,28.0,0,0,0,-5.99,2015,-1.4000000000000004
101,A Vala ,PNG,3,73,34*,36.5,0,3,2/7,6.66,0,2,0,29.83,2015,10.152
102,Amjad Javed ,UAE,2,23,14,11.5,0,1,1/37,61.0,0,0,0,-49.49,2015,-14.450000000000001
103,F Behardien ,SA,2,40,36,40.0,0,1,1/4,4.0,0,0,0,36.0,2015,11.200000000000001
104,STR Binny ,IND,2,35,24,17.5,0,1,1/14,22.0,0,0,0,-4.49,2015,-0.9499999999999993
105,JP Duminy ,SA,2,24,18,12.0,0,2,2/11,18.5,0,1,0,-6.49,2015,-1.1500000000000004
106,AM Guruge ,UAE,2,1,1,1.0,0,1,1/18,46.0,0,0,0,-44.99,2015,-13.1
107,A Karn ,NEP,2,4,4,4.0,0,1,1/31,49.0,0,0,0,-44.99,2015,-13.1
108,B Kumar ,IND,2,9,9,9.0,0,2,2/26,24.0,0,0,0,-14.99,2015,-3.6999999999999993
109,JDS Neesham ,NZ,2,28,28,28.0,0,2,1/21,21.5,0,1,0,6.5,2015,2.750000000000001
110,AR Patel ,IND,2,13,13,13.0,0,4,3/17,10.0,0,2,0,3.0,2015,2.5
111,NLTC Perera ,SL,2,3,2,1.5,0,3,2/30,19.0,0,0,0,-17.49,2015,-4.05
112,JB Reva ,PNG,2,2,2,2.0,0,3,2/11,12.33,0,0,0,-10.33,2015,-1.8989999999999996
113,TAM Siriwardana ,SL,2,58,35,29.0,0,1,1/17,17.0,0,0,0,12.0,2015,4.0
114,DJ Willey ,ENG,2,6,6,6.0,0,5,3/22,11.2,0,1,0,-5.19,2015,0.43999999999999995
115,GH Worker ,NZ,2,90,62,45.0,0,1,1/19,19.0,0,1,0,26.0,2015,8.2
116,CJ Chibhabha ,ZIM,3,35,20,11.66,0,2,2/13,27.5,0,0,0,-15.83,2016,-3.952
117,AG Cremer ,ZIM,3,8,4,4.0,0,1,1/32,91.0,0,0,0,-86.99,2016,-25.7
118,N Madziva ,ZIM,3,6,5*,6.0,0,2,1/32,42.5,0,0,0,-36.49,2016,-10.15
119,AR Patel ,IND,3,38,20*,38.0,0,2,1/18,29.5,0,2,0,8.5,2016,3.3500000000000014
120,DJ Bravo ,WI,2,4,3,4.0,0,2,2/37,18.5,0,1,0,-14.49,2016,-3.55
121,TM Dilshan ,SL,2,5,4,2.5,0,2,2/8,4.0,0,0,0,-1.49,2016,0.3500000000000001
122,JP Faulkner ,AUS,2,1,1,1.0,0,4,3/19,14.25,0,2,0,-13.24,2016,-2.374999999999999
123,MC Henriques ,AUS,2,1,1,1.0,0,1,1/24,45.0,0,1,0,-43.99,2016,-12.8
124,SS Pathirana ,SL,2,8,6,4.0,0,3,2/23,22.66,0,0,0,-18.66,2016,-4.398
125,NLTC Perera ,SL,2,7,7,3.5,0,1,1/58,77.0,0,2,0,-73.49,2016,-21.65
126,KA Pollard ,WI,2,35,22,17.5,0,1,1/30,30.0,0,0,0,-12.49,2016,-3.3499999999999996
127,S Prasanna ,SL,2,8,7,4.0,0,1,1/16,47.0,0,0,0,-42.99,2016,-12.5
128,AD Russell ,WI,2,35,22,17.5,0,1,1/53,60.0,0,0,0,-42.49,2016,-12.35
129,Aizaz Khan ,HKG,1,5,5,5.0,0,3,3/10,3.33,0,0,0,1.66,2016,1.701
130,AR McBrine ,IRE,1,10,10,10.0,0,1,1/22,22.0,0,0,0,-11.99,2016,-3.1999999999999997
131,AD Mathews ,SL,1,11,11,11.0,0,2,2/27,13.5,0,0,0,-2.49,2016,0.04999999999999982
132,J Mulder ,IRE,1,1,1,1.0,0,1,1/25,25.0,0,0,0,-23.99,2016,-6.8
133,KJ O'Brien ,IRE,1,32,32,32.0,0,1,1/39,39.0,0,0,0,-6.99,2016,-1.6999999999999993
