,player,country,matches,runs,highest_score,batting_avg,100s,wickets,best_bowling_innings,bowling_avg,5wicket_haul,catches_taken,stumping_made,avg_diff,year,allrounder_score
131,RS Bopara ,ENG,6,81,51,16.2,0,3,2/26,51.33,0,2,0,-35.13,2014,-8.018999999999998
132,Dawlat Zadran ,AFG,6,52,24*,52.0,0,9,3/36,27.55,0,4,0,24.44,2014,15.235
133,Mahmudullah ,BAN,6,79,41,15.8,0,3,1/20,48.66,0,3,0,-32.86,2014,-7.377999999999998
134,Mashrafe Mortaza ,BAN,6,40,18,10.0,0,9,3/39,23.88,0,0,0,-13.88,2014,-0.4640000000000004
135,BAW Mendis ,SL,6,24,18*,12.0,0,14,3/27,18.85,0,4,0,-6.85,2014,3.3449999999999998
136,Mohammad Nabi ,AFG,6,246,77,49.2,0,6,2/35,34.5,0,3,0,14.7,2014,11.130000000000004
137,AT Rayudu ,IND,6,135,64*,45.0,0,1,1/8,8.0,0,2,0,37.0,2014,15.9
138,Samiullah Shinwari ,AFG,6,276,82*,55.2,0,2,1/37,72.5,0,2,0,-17.29,2014,0.9300000000000033
139,Usman Ghani ,AFG,6,300,118,50.0,1,1,1/21,34.0,0,1,0,16.0,2014,10.100000000000001
140,HMRKB Herath ,SL,5,1,1,1.0,0,6,2/38,28.33,0,2,0,-27.33,2014,-6.2989999999999995
141,MR Marsh ,AUS,5,222,89,55.5,0,3,2/23,37.33,0,2,0,18.16,2014,11.901000000000002
142,GJ Maxwell ,AUS,5,115,93,23.0,0,4,2/22,23.75,0,2,0,-0.74,2014,3.2750000000000004
143,T Panyangara ,ZIM,5,16,15*,16.0,0,5,2/58,52.2,0,0,0,-36.19,2014,-7.76
144,MM Sharma ,IND,5,5,4*,5.0,0,4,4/22,20.0,0,1,0,-14.99,2014,-2.8
145,MA Starc ,AUS,5,33,29*,33.0,0,6,2/23,33.33,0,1,0,-0.33,2014,5.001000000000001
146,KJ Abbott ,SA,4,29,23,14.5,0,2,2/21,51.5,0,0,0,-36.99,2014,-9.049999999999999
147,R Ashwin ,IND,4,26,16,26.0,0,7,3/39,24.85,0,2,0,1.14,2014,5.045
148,JH Davey ,SCOT,4,44,40,14.66,0,7,3/28,19.57,0,0,0,-4.9,2014,2.093000000000001
149,JP Faulkner ,AUS,4,54,39,27.0,0,2,1/19,80.0,0,3,0,-52.99,2014,-12.6
150,RM Haq ,SCOT,4,25,18*,25.0,0,5,5/54,32.6,1,1,0,-7.59,2014,1.7200000000000006
151,RA Jadeja ,IND,4,108,87,108.0,0,7,4/28,24.57,0,1,0,83.42,2014,37.929
152,MG Johnson ,AUS,4,51,23*,25.5,0,4,2/30,38.0,0,0,0,-12.49,2014,0.0
153,B Kumar ,IND,4,1,1,1.0,0,5,2/14,26.8,0,1,0,-25.79,2014,-6.139999999999999
154,MA Leask ,SCOT,4,102,50,34.0,0,1,1/26,65.0,0,0,0,-30.99,2014,-5.599999999999998
155,SW Masakadza ,ZIM,4,22,15,11.0,0,3,2/39,62.33,0,1,0,-51.33,2014,-13.398999999999997
156,Mirwais Ashraf ,AFG,4,5,4,2.5,0,2,1/21,53.0,0,0,0,-50.49,2014,-14.299999999999999
157,Mohammed Shami ,IND,4,0,0,0.0,0,8,3/28,19.0,0,1,0,-18.99,2014,-3.3000000000000003
158,KJ O'Brien ,IRE,4,159,67,53.0,0,2,1/10,32.5,0,2,0,20.5,2014,12.050000000000004
159,NLTC Perera ,SL,4,80,65,26.66,0,9,4/34,13.44,0,2,0,13.22,2014,9.332
160,Sharafuddin Ashraf ,AFG,4,17,14,8.5,0,5,3/29,32.2,0,0,0,-23.69,2014,-4.76
161,SPD Smith ,AUS,4,78,36,19.5,0,4,3/16,11.25,0,4,0,8.25,2014,5.625
162,Sohag Gazi ,BAN,4,28,24,9.33,0,3,1/7,54.33,0,2,0,-44.99,2014,-11.667
163,MC Sorensen ,IRE,4,41,17,20.5,0,6,4/40,23.33,0,1,0,-2.83,2014,3.0010000000000003
164,SR Thompson ,IRE,4,97,39,32.33,0,2,1/15,25.0,0,2,0,7.33,2014,6.032
165,DT Tiripano ,ZIM,4,4,3,2.0,0,9,5/63,20.88,1,0,0,-18.88,2014,-2.7639999999999993
166,CR Woakes ,ENG,4,54,20,13.5,0,5,4/52,39.2,0,2,0,-25.69,2014,-4.859999999999999
167,UT Yadav ,IND,4,17,17,17.0,0,4,3/48,31.5,0,1,0,-14.49,2014,-1.4499999999999993
168,A Balbirnie ,IRE,3,60,38,20.0,0,1,1/31,31.0,0,0,0,-10.99,2014,-0.9999999999999982
169,RD Berrington ,SCOT,3,103,101*,103.0,1,2,1/19,33.0,0,1,0,70.0,2014,31.900000000000006
170,DJ Bravo ,WI,3,14,6,7.0,0,5,4/32,12.8,0,0,0,-5.79,2014,0.46000000000000085
171,AC Evans ,SCOT,3,31,22,31.0,0,3,2/34,31.33,0,0,0,-0.33,2014,3.9010000000000016
172,ST Finn ,ENG,3,8,6,4.0,0,3,2/37,41.66,0,1,0,-37.66,2014,-9.998
173,CH Gayle ,WI,3,67,58,22.33,0,1,1/19,77.0,0,1,0,-54.66,2014,-13.867999999999997
174,JO Holder ,WI,3,30,22*,30.0,0,3,1/17,34.33,0,0,0,-4.33,2014,2.601000000000001
175,N Madziva ,ZIM,3,30,25,10.0,0,3,2/53,38.33,0,1,0,-28.33,2014,-6.598999999999998
176,Mohammad Hafeez ,PAK,3,84,62,28.0,0,4,3/39,17.75,0,3,0,10.25,2014,7.075
177,Mohammad Irfan ,PAK,3,6,5,6.0,0,3,2/48,50.0,0,0,0,-43.99,2014,-11.7
178,JF Mooney ,IRE,3,123,96,123.0,0,1,1/36,93.0,0,0,0,30.0,2014,21.6
179,AR Patel ,IND,3,9,8,4.5,0,1,1/59,59.0,0,2,0,-54.49,2014,-15.6
180,Rahmat Shah ,AFG,3,52,23,17.33,0,5,5/32,15.0,1,1,0,2.33,2014,3.9319999999999986
181,RR Rossouw ,SA,3,36,36,12.0,0,1,1/17,17.0,0,3,0,-4.99,2014,8.881784197001252e-16
182,Shakib Al Hasan ,BAN,3,56,52,28.0,0,6,3/27,10.33,0,0,0,17.66,2014,9.901
183,BA Stokes ,ENG,3,58,33*,29.0,0,4,3/47,33.0,0,1,0,-3.99,2014,2.9000000000000004
184,Wahab Riaz ,PAK,3,5,5,2.5,0,8,4/65,19.62,0,1,0,-17.12,2014,-2.486
185,I Wardlaw ,SCOT,3,2,2,0.66,0,2,1/29,51.0,0,0,0,-50.33,2014,-14.435999999999998
186,Aftab Alam ,AFG,2,1,1,1.0,0,4,2/30,18.5,0,1,0,-17.49,2014,-3.9499999999999997
187,Ahmed Raza ,UAE,2,19,17,9.5,0,3,2/50,25.33,0,0,0,-15.83,2014,-2.898999999999999
188,MM Ali ,ENG,2,76,67,38.0,0,2,2/34,37.0,0,0,0,1.0,2014,4.700000000000001
189,STR Binny ,IND,2,28,25*,28.0,0,6,6/4,0.66,1,0,0,27.33,2014,12.802
190,Ehsan Nawaz ,HKG,2,0,0*,0.0,0,2,1/19,23.5,0,1,0,-23.49,2014,-6.45
191,Haseeb Amjad ,HKG,2,21,21,10.5,0,2,2/32,33.0,0,1,0,-22.49,2014,-5.1000000000000005
192,Irfan Ahmed ,HKG,2,67,37,33.5,0,3,2/28,28.66,0,0,0,4.83,2014,5.702000000000002
193,Junaid Khan ,PAK,2,1,1,1.0,0,1,1/64,139.0,0,0,0,-137.99,2014,-40.99999999999999
194,Khurram Khan ,UAE,2,30,28,15.0,0,2,2/33,16.5,0,1,0,-1.49,2014,1.6499999999999995
195,A Mishra ,IND,2,4,4,4.0,0,2,2/55,27.5,0,0,0,-23.49,2014,-6.05
196,Mohammad Naveed ,UAE,2,32,16*,32.0,0,2,1/16,44.0,0,0,0,-11.99,2014,0.20000000000000107
197,Mohammad Shahzad ,UAE,2,0,0,0.0,0,4,4/26,13.75,0,1,0,-13.74,2014,-2.925
198,Nizakat Khan ,HKG,2,38,24,19.0,0,2,1/11,20.5,0,1,0,-1.49,2014,2.0500000000000016
199,VD Philander ,SA,2,1,1,1.0,0,3,2/49,29.66,0,0,0,-28.66,2014,-7.598
200,S Prasanna ,SL,2,1,1,1.0,0,3,2/36,14.66,0,0,0,-13.66,2014,-3.098
201,SM Sharif ,SCOT,2,18,18,18.0,0,2,2/44,40.0,0,0,0,-21.99,2014,-4.2
202,Tanwir Afzal ,HKG,2,4,4*,4.0,0,2,2/27,23.0,0,0,0,-18.99,2014,-4.699999999999999
203,BV Vitori ,ZIM,2,23,20*,23.0,0,2,2/57,53.5,0,0,0,-30.49,2014,-6.25
204,GD Elliott ,NZ,11,254,55*,31.75,0,7,2/27,36.85,0,3,0,-5.1,2015,3.745000000000001
205,Mohammad Hafeez ,PAK,11,462,103,42.0,1,7,4/41,32.28,0,4,0,9.71,2015,9.216000000000003
206,AU Rashid ,ENG,11,164,69,32.8,0,15,4/55,37.33,0,3,0,-4.53,2015,6.420999999999998
207,KS Williamson ,NZ,11,676,118,67.6,1,2,1/12,52.0,0,5,0,15.6,2015,12.040000000000001
208,BA Stokes ,ENG,10,262,68,29.11,0,12,3/52,31.91,0,7,0,-2.8,2015,5.670999999999999
209,ST Finn ,ENG,9,17,10,8.5,0,12,4/35,35.25,0,2,0,-26.74,2015,-3.5749999999999993
210,H Masakadza ,ZIM,9,278,84,34.75,0,1,1/31,86.0,0,4,0,-51.24,2015,-11.6
211,Nasir Hossain ,BAN,9,100,34,33.33,0,8,3/26,31.12,0,7,0,2.2,2015,6.396000000000001
212,Shakib Al Hasan ,BAN,9,209,52,52.25,0,11,3/33,29.0,0,1,0,23.25,2015,15.500000000000004
213,Sikandar Raza ,ZIM,9,309,100*,61.8,2,4,3/59,45.75,0,5,0,16.05,2015,12.194999999999999
214,Anwar Ali ,PAK,8,78,38*,78.0,0,8,2/24,45.5,0,3,0,32.5,2015,19.950000000000003
215,CJ Chibhabha ,ZIM,8,411,99,58.71,0,6,2/25,32.0,0,0,0,26.71,2015,15.684000000000003
216,AG Cremer ,ZIM,8,75,27,12.5,0,6,3/44,63.5,0,1,0,-50.99,2015,-12.25
217,MJ McClenaghan ,NZ,8,18,16,9.0,0,10,3/36,49.5,0,1,0,-40.49,2015,-8.25
218,Mashrafe Mortaza ,BAN,8,25,21,8.33,0,10,3/76,34.2,0,4,0,-25.86,2015,-3.927999999999999
219,Rubel Hossain ,BAN,8,6,4,3.0,0,10,2/26,31.5,0,0,0,-28.49,2015,-5.249999999999999
220,Shoaib Malik ,PAK,8,339,112,84.75,1,2,1/13,87.0,0,2,0,-2.24,2015,8.400000000000002
221,SC Williams ,ZIM,8,157,63,26.16,0,1,1/43,283.0,0,3,0,-256.83,2015,-74.136
222,Yasir Shah ,PAK,8,10,9,3.33,0,8,4/29,40.5,0,4,0,-37.16,2015,-8.418
223,T Panyangara ,ZIM,7,44,33,22.0,0,3,2/50,116.66,0,1,0,-94.66,2015,-25.297999999999995
224,Rahat Ali ,PAK,7,1,1*,1.0,0,11,3/73,34.36,0,0,0,-33.36,2015,-6.6080000000000005
225,MA Wood ,ENG,7,26,13,26.0,0,5,1/25,68.8,0,1,0,-42.79,2015,-8.739999999999997
226,PJ Cummins ,AUS,6,5,5,5.0,0,14,4/49,18.21,0,1,0,-13.21,2015,0.7370000000000001
227,MJ Henry ,NZ,6,12,12,6.0,0,5,2/64,70.8,0,3,0,-64.79,2015,-17.339999999999996
228,Imran Tahir ,SA,6,5,4,5.0,0,7,2/36,33.28,0,1,0,-28.28,2015,-5.884
229,NL McCullum ,NZ,6,40,25*,20.0,0,8,3/62,41.0,0,4,0,-20.99,2015,-1.8999999999999986
230,Mahmudullah ,BAN,6,76,50,15.2,0,2,1/13,36.0,0,2,0,-20.79,2015,-4.119999999999999
231,MR Marsh ,AUS,6,145,64,36.25,0,8,4/27,27.37,0,4,0,8.87,2015,8.688999999999998
232,GJ Maxwell ,AUS,6,168,85,33.6,0,8,2/41,28.0,0,5,0,5.6,2015,7.440000000000001
233,Mustafizur Rahman ,BAN,6,9,9,9.0,0,18,6/43,12.61,2,1,0,-3.61,2015,5.2170000000000005
