,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
99,KD Mills (NZ),6,36,28*,36.00,0,8,4/30,26.12,0,2,0,9.87,2013
100,Mohammed Shami (IND),6,6,6*,6.00,0,6,2/25,41.83,0,2,0,-35.83,2013
101,PL Mommsen (SCOT),6,194,91*,48.50,0,,,,,,,,
102,M Morkel (SA),6,8,8,2.00,0,7,3/34,37.71,0,0,0,-35.71,2013
103,D Murphy (SCOT),6,41,20*,13.66,0,,,,,,,,
104,TJ Murtagh (IRE),6,33,23*,16.50,0,7,3/33,33.14,0,1,0,-16.64,2013
105,L Ronchi (NZ),6,47,22,7.83,0,,,,,,,,
106,LMP Simmons (WI),6,233,75,38.83,0,,,,,,,,
107,LRPL Taylor (NZ),6,197,71,39.40,0,,,,,,,,
108,Umar Amin (PAK),6,139,59,27.80,0,0,,,,,,,
109,I Wardlaw (SCOT),6,11,7*,11.00,0,12,4/43,25.08,0,0,0,-14.08,2013
110,KS Williamson (NZ),6,175,67,35.00,0,5,2/25,39.40,0,2,0,-4.39,2013
111,Ahsan Malik (NED),5,14,10*,-,,,,,,,,,
112,W Barresi (NED),5,110,55,27.50,0,,,,,,,,
113,TL Best (WI),5,8,5*,-,,,,,,,,,
114,PW Borren (NED),5,100,48,25.00,0,0,,,,,,,
115,Mudassar Bukhari (NED),5,47,22,11.75,0,8,3/41,26.25,0,0,0,-14.49,2013
116,MA Carberry (ENG),5,108,63,21.60,0,0,,,,,,,
117,MJ Clarke (AUS),5,206,105,68.66,1,0,,,,,,,
118,FRJ Coleman (SCOT),5,28,10,5.60,0,,,,,,,,
119,AJ Finch (AUS),5,219,148,54.75,1,,,,,,,,
120,Imran Farhat (PAK),5,64,46,12.80,0,,,,,,,,
121,KM Jarvis (ZIM),5,14,12*,14.00,0,7,2/18,34.71,0,2,0,-20.71,2013
122,CS MacLeod (SCOT),5,97,39,19.40,0,4,2/26,24.25,0,1,0,-4.84,2013
123,A Mishra (IND),5,9,9,9.00,0,18,6/48,11.61,1,1,0,-2.61,2013
124,CH Morris (SA),5,13,9*,6.50,0,6,2/25,35.16,0,0,0,-28.66,2013
125,SJ Myburgh (NED),5,140,52*,35.00,0,,,,,,,,
126,WB Rankin (ENG),5,5,4,5.00,0,9,4/46,16.88,0,0,0,-11.88,2013
127,Shoaib Malik (PAK),5,69,43,17.25,0,1,1/27,76.00,0,1,0,-58.74,2013
128,DS Smith (WI),5,45,30,9.00,0,,,,,,,,
129,BA Stokes (ENG),5,57,27,19.00,0,6,5/61,36.66,1,1,0,-17.66,2013
130,Umar Akmal (PAK),5,175,50,58.33,0,,,,,,,,
131,JD Unadkat (IND),5,,,,,,,,,,,,
132,DLS van Bunge (NED),5,69,45,17.25,0,0,,,,,,,
133,Asad Ali (PAK),4,13,11,6.50,0,2,1/22,57.50,0,0,0,-50.99,2013
134,F Behardien (SA),4,3,2,1.00,0,5,3/19,19.20,0,0,0,-18.19,2013
135,AR Cusack (IRE),4,0,0,0.00,0,6,2/48,25.16,0,1,0,-25.16,2013
136,Haris Sohail (PAK),4,45,26,15.00,0,,,,,,,,
