,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
131,Q de Kock (SA),3,205,81,41.00,0,,,,,,,,
132,AB de Villiers (SA),3,128,51,25.60,0,,,,,,,,
133,S Dhawan (IND),3,122,37,20.33,0,0,,,,,,,
134,N Dickwella (SL),3,138,72,27.60,0,,,,,,,,
135,JP Duminy (SA),3,169,100*,56.33,1,5,2/38,41.00,0,2,0,15.33,2014
136,F du Plessis (SA),3,266,98,53.20,0,,,,,,,,
137,D Elgar (SA),3,211,103,35.16,1,0,,,,,,,
138,ST Gabriel (WI),3,4,4,4.00,0,9,2/25,28.55,0,4,0,-24.55,2014
139,TWM Latham (NZ),3,288,83,48.00,0,,,,,,,,
140,BB McCullum (NZ),3,87,31,14.50,0,,,,,,,,
141,Mohammed Shami (IND),3,79,51*,19.75,0,5,2/128,73.20,0,0,0,-53.44,2014
142,M Morkel (SA),3,24,22,12.00,0,15,4/29,16.40,0,0,0,-4.39,2014
143,JDS Neesham (NZ),3,278,107,46.33,1,3,2/12,37.33,0,2,0,9.00,2014
144,AN Petersen (SA),3,117,34,23.40,0,,,,,,,,
145,VD Philander (SA),3,80,27*,26.66,0,3,2/52,76.00,0,2,0,-49.33,2014
146,KTGD Prasad (SL),3,63,31,12.60,0,11,5/50,27.09,1,0,0,-14.49,2014
147,I Sharma (IND),3,35,13,11.66,0,14,7/74,27.21,1,0,0,-15.54,2014
148,TG Southee (NZ),3,62,21*,12.40,0,11,4/19,21.09,0,2,0,-8.69,2014
149,DW Steyn (SA),3,58,30,14.50,0,21,5/46,14.80,2,0,0,-0.30,2014
150,LRPL Taylor (NZ),3,187,55,37.40,0,,,,,,,,
151,BJ Watling (NZ),3,207,89,51.75,0,,,,,,,,
152,KS Williamson (NZ),3,413,161*,82.60,2,2,1/1,35.50,0,2,0,47.10,2014
153,CR Woakes (ENG),3,33,26*,33.00,0,5,3/30,43.40,0,2,0,-10.39,2014
154,VR Aaron (IND),2,12,9,4.00,0,5,3/97,50.00,0,1,0,-45.99,2014
155,Abdur Rehman (PAK),2,72,50,18.00,0,4,2/97,68.25,0,0,0,-50.24,2014
156,Ahmed Shehzad (PAK),2,86,58,21.50,0,0,,,,,,,
157,Al-Amin Hossain (BAN),2,12,7*,12.00,0,3,3/80,50.00,0,0,0,-37.99,2014
158,Asad Shafiq (PAK),2,157,75,39.25,0,,,,,,,,
159,R Ashwin (IND),2,106,46*,35.33,0,3,3/72,33.66,0,1,0,1.66,2014
160,Azhar Ali (PAK),2,113,41,28.25,0,,,,,,,,
161,LD Chandimal (SL),2,59,45,14.75,0,,,,,,,,
162,N Pradeep (SL),2,17,13,5.66,0,6,4/123,50.83,0,1,0,-45.16,2014
163,G Gambhir (IND),2,25,18,6.25,0,,,,,,,,
164,Imran Tahir (SA),2,19,15,19.00,0,4,2/76,84.00,0,2,0,-64.99,2014
165,Junaid Khan (PAK),2,13,13*,6.50,0,9,5/87,27.33,1,1,0,-20.83,2014
166,FDM Karunaratne (SL),2,127,45,31.75,0,,,,,,,,
167,Khurram Manzoor (PAK),2,39,23,9.75,0,,,,,,,,
168,RAS Lakmal (SL),2,22,12,7.33,0,4,3/75,43.75,0,0,0,-36.41,2014
169,Mahmudullah (BAN),2,126,66,31.50,0,3,2/64,59.00,0,2,0,-27.49,2014
170,Misbah-ul-Haq (PAK),2,67,31,16.75,0,,,,,,,,
171,Mominul Haque (BAN),2,122,56,30.50,0,0,,,,,,,
172,Mushfiqur Rahim (BAN),2,179,116,59.66,1,,,,,,,,
173,Nasir Hossain (BAN),2,24,19,6.00,0,0,,,,,,,
174,Pankaj Singh (IND),2,10,9,3.33,0,2,2/113,146.00,0,2,0,-142.66,2014
175,HD Rutherford (NZ),2,39,19,9.75,0,,,,,,,,
176,Saeed Ajmal (PAK),2,23,12,7.66,0,9,5/166,40.11,1,0,0,-32.44,2014
177,Sarfaraz Ahmed (PAK),2,265,103,88.33,1,,,,,,,,
178,Shamsur Rahman (BAN),2,79,39,19.75,0,,,,,,,,
179,S Shillingford (WI),2,107,53*,107.00,0,5,3/145,63.60,0,2,0,43.40,2014
180,IS Sodhi (NZ),2,18,14,6.00,0,8,4/96,28.50,0,1,0,-22.49,2014
181,BA Stokes (ENG),2,0,0,0.00,0,7,3/51,33.14,0,1,0,-33.14,2014
